"filename", "language", "JSON", "C++", "YAML", "Dart", "Markdown", "Groovy", "Properties", "XML", "Swift", "HTML", "comment", "blank", "total"
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/root_page.dart", "Dart", 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, -5, -35
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/search_form.dart", "Dart", 0, 0, 0, -254, 0, 0, 0, 0, 0, 0, -3, -12, -269
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/search_page.dart", "Dart", 0, 0, 0, -39, 0, 0, 0, 0, 0, 0, 0, -6, -45
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/system_log/bloc/filter/filter_bloc.dart", "Dart", 0, 0, 0, -171, 0, 0, 0, 0, 0, 0, -7, -31, -209
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/system_log/bloc/filter/filter_event.dart", "Dart", 0, 0, 0, -50, 0, 0, 0, 0, 0, 0, 0, -24, -74
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/system_log/bloc/filter/filter_state.dart", "Dart", 0, 0, 0, -33, 0, 0, 0, 0, 0, 0, 0, -5, -38
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/system_log/bloc/system_log/system_log_bloc.dart", "Dart", 0, 0, 0, -234, 0, 0, 0, 0, 0, 0, -9, -31, -274
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/system_log/bloc/system_log/system_log_event.dart", "Dart", 0, 0, 0, -51, 0, 0, 0, 0, 0, 0, 0, -18, -69
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/system_log/bloc/system_log/system_log_state.dart", "Dart", 0, 0, 0, -75, 0, 0, 0, 0, 0, 0, 0, -5, -80
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/system_log/model/filter_critria.dart", "Dart", 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, -3, -21
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/system_log/view/filter_form.dart", "Dart", 0, 0, 0, -333, 0, 0, 0, 0, 0, 0, -7, -20, -360
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/system_log/view/filter_page.dart", "Dart", 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, 0, -5, -30
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/system_log/view/system_log_detail_page.dart", "Dart", 0, 0, 0, -185, 0, 0, 0, 0, 0, 0, -1, -11, -197
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/system_log/view/system_log_form.dart", "Dart", 0, 0, 0, -677, 0, 0, 0, 0, 0, 0, -11, -27, -715
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/system_log/view/system_log_page.dart", "Dart", 0, 0, 0, -29, 0, 0, 0, 0, 0, 0, 0, -4, -33
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/utils/alarm_sound_config.dart", "Dart", 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, 0, -3, -18
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/utils/common_list_limit.dart", "Dart", 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -1, -7
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/utils/common_request.dart", "Dart", 0, 0, 0, -71, 0, 0, 0, 0, 0, 0, -7, -13, -91
